,work_year,experience_level,employment_type,job_title,salary,salary_currency,employee_residence,remote_ratio,company_location,company_size,salary_in_usd
0,2020,MI,FT,Data Scientist,70000,EUR,DE,0,DE,L,70700
1,2020,SE,FT,Machine Learning Scientist,260000,USD,JP,0,JP,S,260000
2,2020,SE,FT,Big Data Engineer,85000,GBP,GB,50,GB,M,99450
3,2020,MI,FT,Product Data Analyst,20000,USD,HN,0,HN,S,20000
4,2020,SE,FT,Machine Learning Engineer,150000,USD,US,50,US,L,150000
5,2020,EN,FT,Data Analyst,72000,USD,US,100,US,L,72000
6,2020,SE,FT,Lead Data Scientist,190000,USD,US,100,US,S,190000
7,2020,,FT,Data Scientist,11000000,HUF,HU,50,HU,L,27995
8,2020,,FT,Business Data Analyst,135000,USD,US,100,US,L,135000
9,2020,SE,FT,Lead Data Engineer,125000,USD,NZ,50,NZ,S,125000
10,2020,EN,FT,Data Scientist,45000,EUR,FR,0,FR,S,45450
11,2020,MI,FT,Data Scientist,3000000,INR,,0,,L,39000
12,2020,EN,FT,Data Scientist,35000,EUR,FR,0,FR,M,35350
13,2020,MI,FT,Lead Data Analyst,87000,USD,US,100,US,L,87000
14,2020,MI,,,85000,USD,US,100,US,L,85000
15,2020,MI,,Data Analyst,,USD,PK,50,PK,L,0
16,2020,EN,FT,Data Engineer,4450000,JPY,JP,100,JP,S,31150
17,2020,SE,FT,Big Data Engineer,100000,EUR,PL,100,GB,S,101000
18,2020,EN,FT,Data Science Consultant,423000,INR,IN,50,IN,M,5499
19,2020,MI,FT,Lead Data Engineer,56000,USD,PT,100,US,M,56000
20,2020,MI,,Machine Learning Engineer,299000,CNY,CN,0,CN,M,41860
21,2020,MI,FT,Product Data Analyst,450000,INR,IN,100,IN,L,5850
22,2020,SE,FT,Data Engineer,42000,EUR,GR,50,GR,L,42420
23,2020,MI,FT,BI Data Analyst,,USD,US,0,US,M,0
24,2020,MI,FT,Lead Data Scientist,115000,USD,AE,0,AE,L,115000
25,2020,EX,FT,Director of Data Science,325000,USD,US,100,US,L,325000
26,2020,EN,FT,Research Scientist,42000,USD,NL,50,NL,L,42000
27,2020,SE,FT,Data Engineer,720000,MXN,MX,0,MX,S,36000
28,2020,EN,CT,Business Data Analyst,100000,USD,US,100,US,L,100000
29,2020,SE,FT,Machine Learning Manager,157000,CAD,CA,50,CA,L,120890
30,2020,MI,FT,Data Engineering Manager,51999,EUR,DE,100,DE,S,52518.99
31,2020,EN,FT,Big Data Engineer,70000,USD,US,100,US,L,70000
32,2020,SE,FT,Data Scientist,60000,EUR,GR,100,US,L,60600
33,2020,MI,FT,Research Scientist,450000,USD,US,0,US,M,450000
34,2020,MI,FT,Data Analyst,41000,EUR,FR,50,FR,L,41410
35,2020,MI,FT,Data Engineer,65000,EUR,AT,50,AT,L,65650
36,2020,MI,FT,Data Science Consultant,103000,USD,US,100,US,L,103000
37,2020,EN,FT,Machine Learning Engineer,250000,USD,US,50,US,L,250000
38,2020,EN,FT,Data Analyst,10000,USD,NG,100,NG,S,10000
39,2020,EN,FT,Machine Learning Engineer,138000,USD,US,100,US,S,138000
40,2020,MI,FT,Data Scientist,45760,USD,PH,100,US,S,45760
41,2020,EX,FT,Data Engineering Manager,70000,EUR,ES,50,ES,L,70700
42,2020,MI,FT,Machine Learning Infrastructure Engineer,44000,EUR,PT,0,PT,M,44440
43,2020,MI,FT,Data Engineer,106000,USD,US,100,US,L,106000
44,2020,MI,FT,Data Engineer,88000,GBP,GB,50,GB,L,102960
45,2020,EN,PT,ML Engineer,14000,EUR,DE,100,DE,S,14140
46,2020,MI,FT,Data Scientist,60000,GBP,GB,100,GB,S,70200
47,2020,SE,FT,Data Engineer,188000,USD,US,100,US,L,188000
48,2020,MI,FT,Data Scientist,105000,USD,US,100,US,L,105000
49,2020,MI,FT,Data Engineer,61500,EUR,FR,50,FR,L,62115
50,2020,EN,FT,Data Analyst,450000,INR,IN,0,IN,S,5850
51,2020,EN,FT,Data Analyst,91000,USD,US,100,US,L,91000
52,2020,EN,FT,AI Scientist,300000,DKK,DK,50,DK,S,42000
53,2020,EN,FT,Data Engineer,48000,EUR,PK,100,DE,L,48480
54,2020,SE,FL,Computer Vision Engineer,60000,USD,RU,100,US,S,60000
55,2020,SE,FT,Principal Data Scientist,130000,EUR,DE,100,DE,M,131300
56,2020,MI,FT,Data Scientist,34000,EUR,ES,100,ES,M,34340
57,2020,MI,FT,Data Scientist,118000,USD,US,100,US,M,118000
58,2020,SE,FT,Data Scientist,120000,USD,US,50,US,L,120000
59,2020,MI,FT,Data Scientist,138350,USD,US,100,US,M,138350
60,2020,MI,FT,Data Engineer,110000,USD,US,100,US,L,110000
61,2020,MI,FT,Data Engineer,130800,USD,ES,100,US,M,130800
62,2020,EN,PT,Data Scientist,19000,EUR,IT,50,IT,S,19190
63,2020,SE,FT,Data Scientist,412000,USD,US,100,US,L,412000
64,2020,SE,FT,Machine Learning Engineer,40000,EUR,HR,100,HR,S,40400
65,2020,EN,FT,Data Scientist,55000,EUR,DE,50,DE,S,55550
66,2020,EN,FT,Data Scientist,43200,EUR,DE,0,DE,S,43632
67,2020,SE,FT,Data Science Manager,190200,USD,US,100,US,M,190200
68,2020,EN,FT,Data Scientist,105000,USD,US,100,US,S,105000
69,2020,SE,FT,Data Scientist,80000,EUR,AT,0,AT,S,80800
70,2020,MI,FT,Data Scientist,55000,EUR,FR,50,LU,S,55550
71,2020,MI,FT,Data Scientist,37000,EUR,FR,50,FR,S,37370
